date,ticker,sentiment_mean,sentiment_std,message_count,stocktwits_count,newsapi_count,source
2026-02-04,TSLA,-0.041975255398061,0.5754460863333113,1441.0,1441,0.0,stocktwits
2026-02-05,AAPL,0.0663946854646922,0.56016941001681,319.0,319,0.0,stocktwits
2026-02-05,AMZN,-0.0336880864626292,0.5848677784908192,2118.0,2118,0.0,stocktwits
2026-02-05,TSLA,-0.024441543849944,0.5565366143549745,1351.0,1351,0.0,stocktwits
2026-02-06,AAPL,0.1146632731894999,0.5364635579526168,329.0,329,0.0,stocktwits
2026-02-06,AMZN,0.1151999373630272,0.566575696118465,1609.0,1609,0.0,stocktwits
2026-02-06,NVDA,0.2445944448778289,0.5255512376005795,924.0,924,0.0,stocktwits
2026-02-06,TSLA,0.0649104356883392,0.5567475287390254,1041.0,1041,0.0,stocktwits
2026-02-07,AAPL,0.1697197316850467,0.5482657686203541,41.0,41,0.0,stocktwits
2026-02-07,AMZN,0.1357192349946493,0.532547377118865,127.0,127,0.0,stocktwits
2026-02-07,NVDA,0.2261362817397424,0.4865469067449474,178.0,178,0.0,stocktwits
2026-02-07,TSLA,0.0600724123423131,0.533801072487044,194.0,194,0.0,stocktwits
2026-02-08,AAPL,0.2147745457784223,0.5353871124554849,38.0,38,0.0,stocktwits
2026-02-08,AMZN,0.1391543772983046,0.5758949001074276,82.0,82,0.0,stocktwits
2026-02-08,NVDA,0.1842385897965037,0.4971898039954578,175.0,175,0.0,stocktwits
2026-02-08,TSLA,0.0407022092045926,0.526293081153408,219.0,219,0.0,stocktwits
2026-02-09,AAPL,0.1092298413781323,0.5738901945034284,312.0,312,0.0,stocktwits
2026-02-09,AMZN,0.2035853609789949,0.5669384225678595,464.0,464,0.0,stocktwits
2026-02-09,NVDA,0.1644666276965047,0.5353700977857225,767.0,767,0.0,stocktwits
2026-02-09,TSLA,0.0592676451555472,0.5538306814348674,711.0,711,0.0,stocktwits
2026-02-10,AAPL,0.0898642855365515,0.5225951926795588,190.0,190,0.0,stocktwits
2026-02-10,AMZN,0.1435283413160004,0.5706394180132454,371.0,371,0.0,stocktwits
2026-02-10,NVDA,0.1427473296897157,0.5312556488769211,589.0,589,0.0,stocktwits
2026-02-10,TSLA,0.0297923389037689,0.5658166063564376,863.0,863,0.0,stocktwits
2026-02-11,AAPL,0.0209232010320045,0.5695475842161052,431.0,431,0.0,stocktwits
2026-02-11,AMZN,0.0319904785478468,0.5383979982871783,485.0,485,0.0,stocktwits
2026-02-11,NVDA,0.1142665641034927,0.555209862736611,697.0,697,0.0,stocktwits
2026-02-11,TSLA,0.0745478997400992,0.5565738519131443,864.0,864,0.0,stocktwits
2026-02-12,AAPL,-0.0829915447719867,0.584215036458479,592.0,592,0.0,stocktwits
2026-02-12,AMZN,0.0076153237226655,0.584903678136386,630.0,630,0.0,stocktwits
2026-02-12,NVDA,0.0963754993428299,0.5418737116975116,701.0,701,0.0,stocktwits
2026-02-12,TSLA,0.0001799654957752,0.5767377851365316,954.0,954,0.0,stocktwits
2026-02-13,AAPL,-0.0400356491413226,0.556395460892935,504.0,504,0.0,stocktwits
2026-02-13,AMZN,0.067167989005023,0.5859559600080337,532.0,532,0.0,stocktwits
2026-02-13,NVDA,0.0050922092339288,0.5758687100786813,846.0,846,0.0,stocktwits
2026-02-13,TSLA,0.015767030343176,0.5688263139391188,785.0,785,0.0,stocktwits
2026-02-14,AAPL,-0.0339292397778203,0.5482016883279167,67.0,67,0.0,stocktwits
2026-02-14,AMZN,0.0612452965278362,0.541660372925384,91.0,91,0.0,stocktwits
2026-02-14,NVDA,0.1374215926717235,0.4657026434565486,140.0,140,0.0,stocktwits
2026-02-14,TSLA,0.0675160843310514,0.530255067461292,154.0,154,0.0,stocktwits
2026-02-15,AAPL,0.0055291305959098,0.5862369216460892,59.0,59,0.0,stocktwits
2026-02-15,AMZN,0.0371756588052637,0.5610184656103058,58.0,58,0.0,stocktwits
2026-02-15,NVDA,0.161663755632087,0.4938657173299351,103.0,103,0.0,stocktwits
2026-02-15,TSLA,-0.0419987713931522,0.5426736178019906,104.0,104,0.0,stocktwits
2026-02-16,AAPL,-0.0904859129989372,0.546702188271277,139.0,139,0.0,stocktwits
2026-02-16,AMZN,0.1046585654500799,0.5638860022124991,103.0,103,0.0,stocktwits
2026-02-16,NVDA,0.1578384944143057,0.4827901304203326,177.0,177,0.0,stocktwits
2026-02-16,TSLA,-0.0279686736944772,0.5204454497834766,218.0,218,0.0,stocktwits
2026-02-17,AAPL,0.1004025137445509,0.5308851840958865,436.0,436,0.0,stocktwits
2026-02-17,AMZN,0.1261744026997906,0.5007452682625755,431.0,431,0.0,stocktwits
2026-02-17,NVDA,0.1239691339395343,0.5226391625899156,1015.0,1015,0.0,stocktwits
2026-02-17,TSLA,0.0188643461625178,0.5327550836784195,851.0,851,0.0,stocktwits
2026-02-18,AAPL,0.0918056621385403,0.5678117320000915,256.0,256,0.0,stocktwits
2026-02-18,AMZN,0.1427112369013852,0.541834264937116,285.0,285,0.0,stocktwits
2026-02-18,NVDA,0.1428586299772129,0.529367002905584,887.0,887,0.0,stocktwits
2026-02-18,TSLA,-0.0188296310769693,0.5606124696870336,715.0,715,0.0,stocktwits
2026-02-19,AAPL,-0.0364030118838299,0.5187113188270343,236.0,236,0.0,stocktwits
2026-02-19,AMZN,0.0448182376208236,0.5591787539281508,214.0,214,0.0,stocktwits
2026-02-19,NVDA,0.1478772211049386,0.4921673978634028,582.0,582,0.0,stocktwits
2026-02-19,TSLA,-0.0034334306413619,0.5381162121782469,812.0,812,0.0,stocktwits
2026-02-20,AAPL,0.0573483830823573,0.5451944372002546,279.0,279,0.0,stocktwits
2026-02-20,AMZN,0.1956688961112502,0.5402139107451172,348.0,348,0.0,stocktwits
2026-02-20,NVDA,0.0815848172902131,0.5433939107904281,681.0,681,0.0,stocktwits
2026-02-20,TSLA,-0.0851940600561999,0.5687736978680541,775.0,775,0.0,stocktwits
2026-02-21,AAPL,-0.0930964452399046,0.5777176547544994,53.0,53,0.0,stocktwits
