date,ticker,message_count,sentiment_mean,sentiment_std
2016-01-29,NVDA,6,0.0,0.0
2016-01-30,NVDA,2,0.0,0.0
2016-01-31,NVDA,1,0.0,0.0
2016-02-01,NVDA,2,0.0,0.0
2016-02-02,NVDA,7,0.0,0.0
2016-02-03,NVDA,4,0.0,0.0
2016-02-04,NVDA,5,0.0,0.0
2016-02-05,NVDA,11,0.0,0.0
2016-02-06,NVDA,5,0.0,0.0
2016-02-07,NVDA,3,0.0,0.0
2016-02-08,NVDA,16,0.0,0.0
2016-02-09,NVDA,8,0.0,0.0
2016-02-10,NVDA,9,0.0,0.0
2016-02-11,NVDA,12,0.0,0.0
2016-02-12,NVDA,20,0.0,0.0
2016-02-13,NVDA,11,0.0,0.0
2016-02-14,NVDA,27,0.0,0.0
2016-02-15,NVDA,21,0.0,0.0
2016-02-16,NVDA,36,0.0,0.0
2016-02-17,NVDA,140,0.0,0.0
2016-02-18,NVDA,184,0.0,0.0
2016-02-19,NVDA,23,0.0,0.0
2016-02-20,NVDA,3,0.0,0.0
2016-02-21,NVDA,4,0.0,0.0
2016-02-22,NVDA,44,0.0,0.0
2016-02-23,NVDA,32,0.0,0.0
2016-02-24,NVDA,20,0.0,0.0
2016-02-25,NVDA,14,0.0,0.0
2016-02-26,NVDA,13,0.0,0.0
2016-02-27,NVDA,2,0.0,0.0
2016-02-28,NVDA,6,0.0,0.0
2016-02-29,NVDA,11,0.0,0.0
2016-03-01,NVDA,12,0.0,0.0
2016-03-02,NVDA,11,0.0,0.0
2016-03-03,NVDA,11,0.0,0.0
2016-03-04,NVDA,14,0.0,0.0
2016-03-05,NVDA,3,0.0,0.0
2016-03-06,NVDA,2,0.0,0.0
2016-03-07,NVDA,8,0.0,0.0
2016-03-08,NVDA,20,0.0,0.0
2016-03-09,NVDA,3,0.0,0.0
2016-03-10,NVDA,7,0.0,0.0
2016-03-11,NVDA,6,0.0,0.0
2016-03-12,NVDA,1,0.0,0.0
2016-03-13,NVDA,4,0.0,0.0
2016-03-14,NVDA,22,0.0,0.0
2016-03-15,NVDA,12,0.0,0.0
2016-03-16,NVDA,21,0.0,0.0
2016-03-17,NVDA,16,0.0,0.0
2016-03-18,NVDA,45,0.0,0.0
